Fecha;Esc. Medio;IC Superior 95%;IC Inferior 95%;IC Superior 68%;IC Inferior 68%;
may-35;8.432;9.765;7.137;9.180;7.703;
jun-35;8.321;9.637;7.044;9.059;7.602;
jul-35;8.460;9.803;7.157;9.214;7.726;
ago-35;8.582;9.944;7.260;9.346;7.838;
sep-35;8.417;9.754;7.121;9.168;7.688;
oct-35;8.623;10.011;7.276;9.401;7.865;
nov-35;8.488;9.855;7.163;9.255;7.743;
dic-35;8.610;9.996;7.265;9.387;7.853;
ene-36;8.440;9.847;7.076;9.228;7.674;
feb-36;8.286;9.667;6.946;9.060;7.534;
mar-36;8.587;10.019;7.199;9.389;7.807;
abr-36;8.451;9.842;7.103;9.232;7.692;
may-36;8.660;10.086;7.279;9.460;7.883;
jun-36;8.472;9.867;7.121;9.255;7.712;
jul-36;8.700;10.139;7.307;9.509;7.915;
ago-36;8.706;10.146;7.312;9.515;7.921;
sep-36;8.611;10.035;7.231;9.411;7.834;
oct-36;8.817;10.294;7.386;9.646;8.012;
nov-36;8.645;10.094;7.242;9.458;7.856;
dic-36;8.811;10.287;7.381;9.639;8.006;
ene-37;8.677;10.176;7.224;9.517;7.860;
feb-37;8.404;9.856;6.997;9.218;7.613;
mar-37;8.845;10.373;7.365;9.702;8.013;
abr-37;8.652;10.132;7.220;9.483;7.845;
may-37;8.836;10.347;7.373;9.685;8.012;
jun-37;8.699;10.188;7.259;9.535;7.888;
jul-37;8.905;10.431;7.429;9.763;8.073;
ago-37;8.931;10.462;7.450;9.791;8.096;
sep-37;8.841;10.356;7.375;9.692;8.015;
oct-37;9.013;10.582;7.495;9.894;8.158;
nov-37;8.856;10.398;7.365;9.721;8.016;
dic-37;9.016;10.585;7.498;9.897;8.161;
